MemberID,Team,Gender,Age,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA9,PA10,NA1,NA2,NA3,NA4,NA5,NA6,NA7,NA8,NA9,NA10,PsyS1,PsyS2,PsyS3,PsyS4
1,CH,1,22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,3,6
2,CH,2,19,4,4,4,3,3,3,3,3,5,4,4,1,1,1,1,1,1,1,1,1,6,6,4,5
3,CH,2,19,7,7,6,7,6,2,6,6,6,6,2,2,2,2,2,2,2,2,2,2,6,6,4,6
4,CH,2,19,7,7,6,7,6,6,6,6,7,6,1,1,1,1,1,1,1,5,1,1,7,7,6,7
1,CI,2,19,6,6,5,6,6,4,6,5,5,4,1,1,1,2,1,1,1,3,5,2,6,7,6,6
2,CI,1,20,6,5,4,6,4,4,4,4,6,4,1,1,1,1,1,1,1,1,1,1,7,7,7,7
3,CI,2,20,6,5,4,6,4,2,4,4,6,5,1,1,1,1,1,1,1,1,1,1,7,6,4,6
1,CJ,1,25,6,4,4,4,4,5,6,4,4,5,5,1,1,1,4,4,1,2,2,2,7,3,6,7
2,CJ,1,18,6,5,4,6,4,5,5,6,6,6,3,1,1,1,1,1,3,5,3,3,7,7,7,7
3,CJ,2,22,5,3,3,3,3,4,3,4,6,6,5,1,1,1,1,1,1,1,1,1,6,6,6,6
1,CK,2,20,6,5,5,6,5,2,5,5,4,5,1,1,1,1,1,1,1,2,1,1,6,7,6,7
2,CK,1,27,5,4,6,5,4,6,5,6,5,6,2,2,2,2,2,2,2,1,2,2,7,7,6,7
3,CK,2,27,6,5,3,4,4,5,4,4,5,5,1,1,1,1,1,1,1,2,2,1,6,6,5,6
1,CL,2,18,5,5,3,4,4,5,5,4,5,4,2,2,2,2,2,2,2,5,4,2,6,7,5,7
2,CL,2,21,6,5,6,7,6,5,7,6,5,6,2,2,1,1,1,1,1,2,1,1,7,6,6,7
3,CL,2,22,6,5,4,4,4,4,4,4,4,5,3,2,1,1,1,1,1,4,1,1,6,4,5,7
4,CL,2,22,7,6,4,6,4,7,7,5,7,7,6,2,1,2,1,1,1,2,2,2,3,5,4,6
1,CO,2,22,6,4,6,5,2,6,4,5,1,1,1,1,1,1,1,1,1,4,1,1,4,5,6,7
2,CO,2,21,5,4,2,5,4,3,4,3,6,4,2,2,2,4,2,2,2,5,4,3,7,6,6,7
3,CO,1,19,6,6,6,6,6,5,6,5,7,6,2,2,2,2,1,1,2,3,3,2,7,7,7,7
1,CP,1,24,5,4,3,5,2,1,5,4,5,6,2,1,1,1,1,1,1,2,1,1,6,6,5,6
2,CP,2,22,5,4,4,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,5,5,5,5
3,CP,2,22,5,4,4,6,4,3,5,5,3,4,2,2,2,3,2,2,2,4,4,3,4,4,6,6
4,CP,2,23,6,5,4,5,5,3,3,5,6,7,5,4,2,4,2,4,4,5,5,4,6,3,7,7
1,CQ,2,19,6,5,4,5,2,6,3,4,7,6,3,3,3,3,2,3,5,6,6,3,6,6,5,6
2,CQ,2,21,6,4,2,4,4,6,4,4,7,7,1,1,1,1,1,1,1,1,1,1,7,7,6,7
3,CQ,2,24,5,4,4,4,4,5,2,4,5,4,1,1,1,1,1,1,1,1,1,1,6,6,6,6
1,CR,2,22,6,4,3,5,4,1,4,4,5,5,1,1,5,1,1,1,1,5,1,1,3,7,7,7
2,CR,2,22,5,4,4,4,4,4,6,4,6,6,6,4,1,1,4,1,1,1,1,1,5,6,6,7
3,CR,1,22,5,5,3,4,4,2,5,2,4,4,2,1,1,1,1,1,1,1,1,1,6,2,6,6
4,CR,2,18,5,5,4,4,4,5,6,4,5,4,1,1,1,1,1,1,1,1,1,1,7,7,6,7
1,CS,2,21,5,5,5,5,4,3,5,5,5,6,2,3,2,2,1,2,3,4,4,2,4,5,6,7
2,CS,2,23,5,4,4,5,4,4,5,5,5,5,5,1,1,1,1,1,1,5,1,1,6,7,6,7
3,CS,2,22,5,2,2,2,1,1,1,1,4,4,1,5,1,1,1,1,1,4,1,1,7,6,6,6
4,CS,1,19,6,5,3,4,3,5,2,4,5,3,5,1,1,5,1,1,2,7,5,3,2,3,6,5
1,CT,2,25,5,4,5,6,5,5,5,4,6,6,1,1,1,1,6,1,1,1,1,1,7,5,7,7
2,CT,2,24,6,5,5,4,4,1,4,4,6,5,4,1,1,1,1,1,1,1,4,1,7,7,7,7
3,CT,1,24,4,4,6,6,4,3,6,4,7,7,2,1,1,1,1,1,4,5,4,4,7,6,4,7
4,CT,2,24,7,7,4,7,7,2,7,7,4,7,7,1,1,2,7,1,1,5,1,2,7,7,7,7
1,CV,1,21,6,4,4,4,4,2,4,4,4,5,2,1,1,1,1,1,1,1,1,1,7,7,6,7
2,CV,2,23,5,5,5,5,4,4,6,4,7,7,4,1,1,1,1,1,1,2,1,1,6,6,6,7
3,CV,2,21,6,6,5,5,2,5,2,6,4,6,4,1,1,2,1,2,1,3,1,2,2,7,7,7
4,CV,2,22,5,5,3,4,4,2,4,4,4,4,3,1,1,1,3,2,2,2,2,3,2,7,6,7
1,CW,3,28,5,4,3,4,3,2,4,4,5,5,1,1,1,1,1,1,1,1,1,1,7,7,6,7
2,CW,2,22,6,5,4,5,5,4,5,4,4,5,4,3,1,1,2,3,1,1,3,3,4,5,5,6
3,CW,2,21,5,5,4,5,4,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,7,5,6,7
1,CY,2,22,5,5,4,4,3,4,4,4,5,5,3,1,1,1,1,1,1,5,1,4,7,7,6,7
2,CY,1,23,5,5,4,5,4,3,4,4,5,5,3,2,2,2,1,2,2,4,4,4,6,7,4,6
3,CY,2,22,6,6,4,5,5,4,5,4,7,6,1,1,1,1,1,1,1,1,1,1,7,1,7,7
1,CZ,2,22,4,4,4,4,4,3,4,4,5,5,3,3,2,2,2,2,2,4,4,2,6,6,4,6
2,CZ,1,21,5,3,3,3,3,2,3,5,3,3,1,1,1,1,1,1,1,1,1,1,5,4,4,5
3,CZ,2,23,5,4,5,4,3,5,5,5,7,6,1,1,1,1,3,1,1,1,3,1,7,5,7,7
1,EA,1,22,5,5,4,4,4,3,4,3,4,5,2,2,1,2,1,2,3,5,4,2,7,6,7,6
2,EA,1,20,5,5,6,5,6,1,6,6,6,5,6,1,1,1,1,1,1,1,1,1,7,7,7,7
3,EA,1,18,4,5,4,6,3,3,4,4,5,5,7,1,1,1,1,1,1,1,1,1,7,7,7,7
1,EAA,2,27,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,7,1,4,7
2,EAA,1,21,5,2,6,4,1,5,6,5,4,2,2,2,2,2,2,3,4,6,3,2,6,6,5,5
3,EAA,2,22,5,2,3,2,2,1,2,2,2,2,3,3,3,1,1,1,1,2,4,1,6,6,4,4
1,EAB,2,22,6,4,5,6,7,2,4,5,7,4,1,1,1,1,1,1,1,1,1,1,7,7,6,7
2,EAB,1,21,4,3,4,3,3,5,6,6,5,4,4,3,5,5,4,3,3,5,3,3,6,4,6,6
3,EAB,1,20,5,5,5,6,7,3,5,5,6,5,1,1,1,1,1,1,1,1,1,1,6,5,5,6
1,EAC,2,25,4,4,4,5,6,6,6,6,6,6,6,1,1,5,1,1,1,1,1,1,6,7,6,7
2,EAC,3,30,4,5,4,5,6,2,7,4,4,5,1,1,1,1,1,1,1,1,1,1,6,4,6,7
3,EAC,1,21,5,4,4,5,5,6,5,4,6,4,1,1,1,1,1,1,2,3,3,3,7,7,6,7
4,EAC,2,20,6,3,4,5,6,4,6,4,6,4,2,2,1,1,1,1,1,1,1,1,5,7,5,7
3,EAD,1,24,6,2,4,4,3,1,3,3,4,5,1,1,1,1,1,1,1,2,1,1,7,4,4,7
4,EAD,2,22,7,2,1,3,1,1,6,2,4,2,6,1,1,1,1,1,1,1,1,1,7,4,4,7
1,EAD,2,22,5,1,1,1,1,1,5,5,5,4,1,1,1,1,1,1,1,1,1,1,7,4,7,7
2,EAD,2,28,7,1,1,1,1,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,7,7,7,7
1,EAE,2,21,4,4,4,5,3,4,4,4,2,4,4,2,4,2,4,4,4,4,2,2,6,4,6,6
2,EAE,1,28,5,4,3,3,5,4,4,5,5,5,3,1,4,5,1,1,4,5,2,5,6,3,7,7
3,EAE,1,23,7,7,6,6,4,4,4,3,4,4,5,2,2,1,2,1,1,2,2,1,6,4,6,6
4,EAE,2,20,7,7,5,7,6,4,5,6,6,7,7,6,6,1,1,1,1,1,1,1,7,7,7,7
1,EAF,2,28,6,4,4,3,3,5,5,5,5,5,6,6,2,3,3,3,1,3,3,1,7,5,7,7
2,EAF,2,24,4,2,3,3,1,5,5,6,5,5,5,2,2,1,2,1,1,1,1,1,3,3,6,7
3,EAF,1,24,2,2,2,3,2,6,4,5,4,3,1,2,1,1,1,3,1,4,3,1,6,5,6,6
4,EAF,1,22,5,2,3,3,1,1,4,2,5,5,7,6,1,1,1,1,2,4,3,1,7,7,6,7
1,EAG,1,19,5,4,5,5,5,5,6,5,6,4,5,1,1,1,1,1,1,5,4,2,4,4,5,4
2,EAG,2,19,6,4,4,3,3,5,4,5,6,6,4,5,2,2,1,1,1,3,3,3,6,6,5,6
3,EAG,2,22,2,1,2,2,4,1,5,5,5,5,4,3,1,1,5,4,1,1,4,1,2,6,6,6
4,EAG,2,33,6,4,4,5,4,4,5,4,4,5,4,4,2,2,2,2,4,4,2,2,2,5,4,4
1,EAH,2,19,7,7,6,5,3,5,7,6,6,3,2,2,3,1,1,1,2,2,5,1,7,7,6,7
2,EAH,2,23,6,5,4,4,4,4,7,6,7,6,6,5,3,3,3,3,3,2,2,1,7,6,7,7
3,EAH,2,25,4,4,4,4,4,6,3,5,5,6,6,2,1,1,1,1,1,1,1,1,4,6,5,6
4,EAH,2,25,6,6,4,4,4,4,6,4,4,4,4,2,1,1,1,1,1,1,1,1,2,6,6,6
1,EAI,2,23,5,3,6,4,6,2,2,3,4,4,5,5,1,2,2,1,1,6,4,5,5,7,4,7
2,EAI,2,24,6,4,5,6,4,4,5,3,4,3,2,4,2,6,4,4,7,7,4,7,7,1,7,7
3,EAI,2,22,5,3,4,5,4,3,3,5,5,6,5,2,2,2,1,2,2,2,2,2,7,5,5,6
1,EAK,1,21,6,4,5,4,6,4,4,3,4,4,3,3,2,1,1,1,2,3,4,2,7,6,6,7
2,EAK,1,28,4,4,5,4,5,6,4,6,5,5,4,4,4,4,2,4,4,4,4,4,7,6,4,7
3,EAK,2,25,6,5,5,6,5,4,5,6,5,5,1,2,2,1,1,1,1,2,2,1,6,7,5,6
4,EAK,2,33,6,5,5,6,5,5,4,5,5,5,5,3,2,2,1,1,1,2,2,2,6,7,6,6
1,EC,2,20,6,4,4,3,5,3,5,4,4,4,4,2,2,2,2,2,2,5,2,2,7,7,6,6
2,EC,2,34,6,4,4,4,4,6,5,5,7,7,1,1,1,1,1,1,1,1,1,1,7,7,7,7
3,EC,2,23,6,5,6,5,5,6,7,7,5,6,4,4,3,5,1,1,2,5,2,4,7,5,6,7
1,ED,2,22,6,5,5,4,4,4,6,5,5,5,3,3,3,3,4,3,3,4,3,3,5,6,5,6
2,ED,2,27,6,6,5,7,6,4,7,6,6,7,5,5,1,1,1,1,1,1,1,1,4,5,6,7
3,ED,2,19,6,6,4,4,5,3,5,4,5,6,4,2,1,1,1,1,1,2,1,1,7,6,6,7
1,EE,1,18,5,4,4,4,4,4,4,6,5,5,4,1,1,1,1,1,1,1,1,1,7,7,6,7
2,EE,2,23,5,3,2,3,3,5,3,5,2,2,6,6,5,7,2,2,3,5,3,3,6,6,6,6
1,EF,2,19,7,4,5,5,3,5,6,6,7,5,3,2,2,1,1,1,1,2,5,2,6,7,6,6
2,EF,1,22,5,4,4,5,4,4,5,5,5,5,3,2,1,2,2,2,3,3,4,2,7,4,7,7
3,EF,2,18,5,4,3,5,3,6,6,5,6,4,3,3,5,2,2,2,4,4,5,2,6,6,6,6
1,EG,2,20,5,4,6,4,4,4,3,5,4,3,3,3,5,2,3,3,2,5,4,3,6,6,7,7
2,EG,2,19,5,3,4,4,4,3,3,5,6,5,3,1,2,1,1,1,2,5,5,1,6,7,6,6
3,EG,2,19,5,4,4,5,4,4,5,4,6,4,1,1,1,1,1,1,1,2,1,1,7,7,7,7
1,EH,1,21,5,4,4,5,5,3,5,4,5,4,4,3,3,3,3,3,3,3,3,3,6,6,5,6
